Nom,URL,Région,Taille,Poids,Poil,Robe,Tête,Yeux,Oreilles,Queue,Caractère,Silhouette,Utilisation,Other names,Origin,United Kennel Club,RSCFRCE,Notes,Breed status,Height,Weight,Coat,Color,Litter size,Espèce,Colour,Clube Português de Canicultura,Fédération Cynologique Internationale,CMKU,Distribution,Kennel Club of Greece,Diffusion,Nom scientifique,Země původu,Hmotnost,Výška*,Barva,Skupina FCI,Sekce FCI,Podsekce FCI,FCI,Common nicknames,Cynological Federation of Georgia,Région d'élevage,New Zealand Kennel Club,Morphologie,Foundation stock,American Kennel Club,China Kennel Union,Pieds,Real Sociedad Canina de España,Toison,Govern Illes Balears,"Ministerio de Agricultura, Pesca y Alimentación",Ente Nazionale della Cinofilia Italiana
Podenco d'Ibiza,https://fr.wikipedia.org/wiki/Podenco_d%27Ibiza,Espagne,"66 à 72 cm (M), 60 à 67 cm (F)","En moyenne 22 kg (M), 19 kg (F)","Lisse, dur ou long.","Blanc et rouge, blanc et feu, blanc pur et rouge sans tache.",Longue et étroite.,Oblique et ambre clair.,"Droites et raides, en forme de losange.",Portée basse.,"Actif, intelligent",,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de garenne portugais,https://fr.wikipedia.org/wiki/Chien_de_garenne_portugais,Portugal,"Grand : 55 à 70 cm , Moyen : 40 à 55 cm , Petit : 20 à 30 cm","Grand : 20 à 30 kg , Moyen : 16 à 20 kg , Petit : 4 à 6 kg",Dur et long ou court et lisse.,"Jaune, fauve avec ou sans blanc.",Forme de pyramide tronquée.,"Petits, obliques et couleur miel.","Dressées, mobiles et triangulaires.",Épaisse et en pointe,"Très vif et intelligent, sobre et rustique.",,"Chien de chasse , Chien de garde , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poitevin,https://fr.wikipedia.org/wiki/Poitevin_(chien),France,"62 à 72 cm (M), 60 à 70 cm (F).",30 kg en moyenne.,Court et brillant.,Tricolore.,"Allongée, museau effilé.","Grands, bruns, encerclés de noir.","De largeur moyenne et demi-longues, tombantes légèrement tournées.","De longueur moyenne, fine, portée en décrivant une légère courbe.","Persévérant, infatigable au caractère doux.","Chien courant de grande taille, d'allure élancée et distinguée.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger polonais de plaine,https://fr.wikipedia.org/wiki/Berger_polonais_de_plaine,Pologne,entre 41 et 51 cm,entre 16 et 18 kg,court dense et imperméable,"noir, noir et blanc, crème, rouan, doré",moyenne,foncés,tombantes,anoure ou coupée,"intelligent, alerte et affectueux.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berger des Tatras,https://fr.wikipedia.org/wiki/Berger_des_Tatras,Pologne,65-70 cm (mâle) 60-65 cm (femelle),57-62 kg (mâle) 47-52 kg (femelle),"court (tête), dense et long (reste du corps)",blanc uniforme,sèche et large,"moyens, pleins d'expression, foncés","pendantes, de forme triangulaire","attachée pas trop haut, longue et touffue","indépendant, aimable et protecteur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porcelaine,https://fr.wikipedia.org/wiki/Porcelaine_(chien),Franche-Comté,"55 à 58 cm (M), 53 à 56 cm (F).",,"Ras, fin, serré et brillant.",Blanche avec des taches orange. Oreilles mouchetées d'orange.,"En forme de poire, avec une truffe noire.",De couleur marron foncé à noir.,"Fines, longues et pendantes. Papillotées.","Portée courbée, de longueur moyenne.",Calme et affectueux.,"Chien courant de taille moyenne, construit pour la vitesse.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien d'arrêt portugais,https://fr.wikipedia.org/wiki/Chien_d%27arr%C3%AAt_portugais,Portugal,"52 à 60 cm (M), 48 à 56 cm (F).","24 à 31 kg (M), 20 à 26 kg (F).",Court et ras.,"Jaune et marron, unicolore ou marqué de blanc.",De forme rectiligne vue de profil et carrée vue de face.,"De forme ovale arrondi, de couleur marron.","De taille moyenne, tombantes.",Écourtée ou non.,"Doux, rustique et endurance.","Braque robuste et harmonieux, le corps s'inscrit dans un carré.","Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratier de Prague,https://fr.wikipedia.org/wiki/Ratier_de_Prague,Tchéquie,20 – 23 cm (tolérance+/- 1cm),"idéal 2,6 kg","1.) ras, lisse, brillant et lustré 2.) mi- long, avec les franges sur les oreilles et la partie arrière des pieds, des cuisses et de la queue.","Noir et feu, marron et feu et les autres variantes: délavés jusqu´au jaune citronné (récessive), y compris le „merle“ variantes, ou rouge.",en forme de poire,les yeux sont foncés en accord à la couleur principale de la robe,"Portées dressées, seule la partie supérieure de l´oreille peut retomber légèrement","attache haute, arrive au maximum jusqu´à la pointe du jarret",Tempérament sociable et énergique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudelpointer,https://fr.wikipedia.org/wiki/Pudelpointer,Allemagne,"60 à 68 cm (M), 55 à 63 cm (F)",,"Dur et serré, de longueur moyenne, avec sous-poil.","Unicolore marron, feuille-morte et noir. Marques blanches acceptées.","Large, avec un poil formant une barbe et des sourcils fournis.","Grand, de couleur ambre foncé.","Tombantes, plates sur les joues, velues.",Écourtée ou non.,"Joyeux, docile, aimant l'eau.",,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlin,https://fr.wikipedia.org/wiki/Carlin,Chine,30-40 cm,"10 à 15,5 kg",Court,Sable ou noire ou abricot (marron très foncé). Les robes argent et blanches sont d'usage courant aux États-Unis car elles y sont reconnues mais ce n'est pas le cas en France.,Ronde avec le dessus plat,Globuleux,"Douces, noires, petites, en forme de rose ou de bouton",En tire bouchon à une ou deux boucles,"Sociable, très joueur, gourmand et très attaché et dévoué à son maître et adore les enfants. Il aime la compagnie et n'aime donc pas rester seul la journée, très expressif et a du caractère. Doux et gentil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puli,https://fr.wikipedia.org/wiki/Puli,Hongrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulin,https://fi.wikipedia.org/wiki/Pulin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumi,https://fr.wikipedia.org/wiki/Pumi_(chien),Hongrie,41-47 cm (M) idéal 43-45 cm ; 38-44 cm (F) idéal 40-42 cm,,ondulé et bouclé,"gris, noir, fauve (fako), blanc",longue et étroite,"moyennement séparés en position légèrement oblique, expression vive et intelligente","attachées haut et dressées, tier supérieur de l'oreille est plié vers l'avant, grandeur moyenne formant un V",forme un large arc de cercle au-dessus de la croupe,"ce chien de berger est assez vif, d'un tempérament infatigable, extrêmement audacieux mais méfiant avec les inconnus. Chien assez bruyant.",10-15 kg (M) idéal 12-13 kg ; 8-13 kg (F) idéal 10-11 kg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier Rampur,https://fr.wikipedia.org/wiki/L%C3%A9vrier_Rampur,Inde,M 60-75 cm & F 55-60 cm,27-30 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat Terrier,https://en.wikipedia.org/wiki/Rat_Terrier,,,,,,,,,,,,,American Rat Terrier Ratting Terrier Decker Giant,,standard,,,,10–18 inches (25–46 cm),10–25 pounds (4.5–11.3 kg),"Single, smooth","Black, tan, chocolate, blue, grey Isabella (pearl), lemon and apricot. May be tri-color or bi-color, with at least one color being white",,,,,,,,,,,,,,,,,,,"RT, Rat, Rattie",,,,,,,,,,,,,
rafeiro de l'Alentejo,https://fr.wikipedia.org/wiki/Rafeiro_de_l%27Alentejo,Portugal,"66 à 74 cm (M), 64 à 70 cm (F).","45 à 60 kg (M), 35 à 50 kg (F).",Poil court ou mil-long,"Jaune, fauve, gris-loup, noir, toujours avec marques blanches. Peut être bringée .","Volumineuse, légèrement convexe de profil.","En forme d'ellipse, de petite taille, de couleur marron foncé de préférence.","Tombantes, de forme triangulaire arrondie à l'extrémité, de petite taille.","Atteint au moins le jarret, portée recourbée.","Doué pour la garde, calme, vigilant.","Chien de grande taille de type molossoïde , d'aspect nonchalant et puissant.","Chien de garde , Chien de berger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajapalayam,https://en.wikipedia.org/wiki/Rajapalayam_dog,,,,,,,,,,,,,,India,,,,,Males,Males,single coat both are short,,,,Milky White only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratonero Bodeguero Andaluz,https://en.wikipedia.org/wiki/Andalusian_Terrier,,,,,,,,,,,,,Ratonero Bodeguero Andaluz Bodeguero Jerezano Perro Ratonero Andaluz Andalusian Wine-Cellar Rat-Hunting Dog Perro Bodeguero Andaluz Andalusian Ratter Sherry Terrier,Spain,,,,,Males,Males,,,,,white with black and tan markings,,standard,,,,,,,,,,,,,,,,,,,,,,,standard,,,,
Mallorcan ratter,https://en.wikipedia.org/wiki/Ca_Rater_Mallorqu%C3%AD,,,,,,,,,,,,,Ratonero Mallorquín,Spain,,,,,Males,Males,short,,,,"black-and-tan, brown-and-tan, sometimes white patches or tri-colour",,,,"Mallorca , Balearic Islands",,,,,,,,,,,,,,,,,,,,,,,standard,standard,
Redbone,https://fr.wikipedia.org/wiki/Redbone_Coonhound,États-Unis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien de Rhodésie à crête dorsale,https://fr.wikipedia.org/wiki/Chien_de_Rhod%C3%A9sie_%C3%A0_cr%C3%AAte_dorsale,Afrique du Sud,"63 à 69 cm (M), 61 à 66 cm (F)","environ 36,5 kg (M), 32 kg (F)","Court et dense, d’aspect lisse et luisant. Présente une crête dorsale formée de poils poussant en sens inverse.",Fauve unicolore.,"Crâne plat et large entre les oreilles, stop bien marqué, truffe noire avec un œil foncé ou marron avec un œil ambre.","Modérément écartés, ronds, brillants et vifs.","Tombantes, attachées assez haut, de taille moyenne, plutôt large à la base, pointe arrondie.","Forte à la naissance et s’amenuise vers l’extrémité, de longueur modérée, portée avec une légère courbe vers le haut.","Digne, intelligent, distant avec les étrangers, ni agressif ni peureux.","Chien de construction bien équilibrée, forte et musclée. Silhouette harmonieuse. Type Braccoide.","Chien de chasse , Chien de compagnie , Chien de garde , Chien de travail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rottweiler,https://fr.wikipedia.org/wiki/Rottweiler,Allemagne,55 à 65 cm (au garrot),,"de longueur moyenne, dur au toucher, lisse et bien serré ; se cache en dessous un sous-poil doux",noir et feu,plate et large,"bruns, de grandeur moyenne, les yeux du rottweiler ont la forme d'une amande","moyennes et triangulaires, elles ont la particularité d'être écartées l'une de l'autre ; quand le rottweiler les ramène vers l'avant, sa tête apparaît encore plus large","longue naturelle, portée pendante ou en sabre, jamais enroulée ni déviée latéralement. Dans les pays où la caudectomie est encore autorisée, coupée au niveau de la première ou de la deuxième vertèbre","fidèle, courageux, protecteur, très intelligent, docile, zélé, sportif, paisible, robuste, allures nobles, paresseux pour un chien de famille mais peut être sportif si son maître le fait courir régulièrement.",50 à 60 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colley,https://fr.wikipedia.org/wiki/Colley,Écosse ( Royaume-Uni ),Mâles : 56 cm à 61 cm au garrot. Femelles : 51 cm à 56 cm au garrot.,20 à 32 kg (non indiqué dans le standard).,"long et dense (forme un collier et un jabot très marqués), court sur la tête.","zibeline et blanc, tricolore, bleu merle",fine avec front plat et museau qui s'amincit graduellement.,,,,disposition amicale ; aucunement craintif ni agressif.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
épagneul russe,https://fr.wikipedia.org/wiki/%C3%89pagneul_russe,,entre 38 et 43 cm,environ 13 à 18 kg,plat et raide,"pie: noir, brun",large et ronde,,tombantes,"entière, portée bas, frangée",attentif et aimable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laïka russo-européen,https://fr.wikipedia.org/wiki/La%C3%AFka_russo-europ%C3%A9en,Russie,"52 à 58 cm (M), 50 à 56 cm (F)",,"Poil de couverture dur et droit, sous-poil épais, abondant et laineux.","Noir et blanc, noir unicolore, blanc unicolore.",En forme de coin,"Ovales, placés modérément en oblique, de couleur marron foncé ou marron.","Oreilles dressées, de petite taille et de forme triangulaire.","En forme de faucille ou enroulée, elle est portée sur le dos, les fesses ou sur l’arrière des cuisses.",Sûr et équilibré,,Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petit chien russe,https://fr.wikipedia.org/wiki/Petit_chien_russe,,20 à 28 cm; entre 1 et 3 kg.,,Lisse et court ou long.,"Couleurs soutenues: rouge, ou feu avec noir, marron, ou bleu. Quasiment toutes les robes sont permises, à part les tachetées.","Petite, crâne rond, truffe assortie a la couleur de la robe, chanfrein fin, stop marqué.","Assez grands, arrondis et assortis à la couleurs de la robe.","longues hautes, et totalement dressées",Longue portée haute.,"Actif, vif, toujours joyeux et capable de grand moments de calme.","Ossature fine, musculature sèche, inscrit dans un carré.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chien-loup de Saarloos,https://fr.wikipedia.org/wiki/Chien-loup_de_Saarloos,Pays-Bas,"70cm (f), 75cm (m)",,court avec agouti,"sable charbonné (dit gris loup) , brun de forêt (roux), blanc (très rare)","stop peu marqué, ratio 1:1 entre le crâne et le museau.",en amande : jaunes,pointues et dressées,entière et en sabre,"réservé envers les inconnus, fidèle a sa famille.",,,,,,,,,,,,,,Canis lupus familiaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoyède,https://fr.wikipedia.org/wiki/Samoy%C3%A8de_(chien),Russie,"57 cm ± 3 cm (M), 53 cm ± 3 cm (F) C’est un chien de taille moyenne",Femelle : de 16 à 20 kg Mâle : de 20 à 30 kg,"Double : un sous-poil doux, court et dense et un poil de couverture plus long et dur","Blanc pur, crème et biscuit.",Forte,"Brun foncé, en forme d'amande.","Attachées haut et bien espacées, triangulaires et assez petites.","En action, portée courbée vers l'avant sur le dos ou sur le côté.","Amical, sociable, vif, aboyeur, sportif, joueur, déterminé.",,"Chien de traîneau , chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier persan,https://fr.wikipedia.org/wiki/L%C3%A9vrier_persan,Moyen-Orient,"Moyenne entre 58 et 71 cm, femelles plus petites",,"Lisse, doux","Toutes couleurs admises, bringé indésirable",Longue et étroite,"Foncés, grands et ovales","Longues, couvertes de poils et retombant le long du crâne","Longue, portée naturellement courbée","Réservé sans être craintif, intelligent, indépendant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chien de berger yougoslave de Charplanina,https://fr.wikipedia.org/wiki/Chien_de_berger_yougoslave_de_Charplanina,Macédoine du Nord et Serbie,En moyenne 62 cm (M) et 58 cm (F).,"37 à 47 kg (M), 32 à 42 kg (F).",Long et de texture plutôt grossière. Court sur la tête et les membres.,Toutes couleurs sans blanc acceptées.,"Bien proportionnée, stop peu prononcé.","En forme d'amande, de couleur châtain clair ou foncé.","Tombantes, de taille moyenne, couvertes d'un poil fin et court.","Longue, portée en sabre.","Calme, bon défenseur, dévoué à son maître.","Chien de montagne de grande taille, d'aspect rustique et ramassé.","Chien de berger , Chien de garde .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schapendoes néerlandais,https://fr.wikipedia.org/wiki/Schapendoes_n%C3%A9erlandais,Pays-Bas,"45 (f), 50 (m)",15 kg,"long, touffu et hirsute","sable, grise, bleue ou noir",le crâne est large,foncé,tombante le long de la tête,Entière et levée,Actif et aimable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schillerstövare,https://fr.wikipedia.org/wiki/Chien_courant_de_Schiller,Suède,"53 à 61 cm (M), 49 à 57 cm (F).",,"Rude, pas trop court, bien couché sur le corps.",Noir et feu.,"Plutôt longue, de forme triangulaire.",De couleur brun foncé.,"Tombantes, attachées haut, assez courtes.","Attachée dans la ligne du dos, portée droite ou légèrement recourbée en sabre, atteint le jarret.",Vif et attentif.,"Chien courant de taille moyenne, bien proportionné, donnant une impression de force et de rapidité.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schipperke,https://fr.wikipedia.org/wiki/Schipperke,Belgique,,,,Noire,,Marron,,coupée ou non,"Toujours en action, il possède une curiosité insatiable et émet parfois des sons stridents. Cet aboiement s’accompagne d’un comportement cherchant à impressionner où il hérisse la crinière. Il aime beaucoup les enfants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealyham Terrier,https://fr.wikipedia.org/wiki/Sealyham_Terrier,Pays de Galles,Inférieure à 31 cm,"9 kg chez le mâle, 8,2 kg chez la femelle",Poil de couverture est long et dur (fil de fer). Le sous-poil est résistant aux intempéries.,"De couleur uniformément blanche ou avec des marques citron, marron, bleues ou blaireau sur la tête et les oreilles.","Crâne légèrement en dôme et large entre les oreilles. Museau est caractérisé par une redoutable mâchoire carrée, puissante et longue.","Foncés, bien disposés, ronds, de dimensions moyennes.",,"Auparavant la coutume était d’écourter la queue. Queue coupée : Longueur moyenne, épaisse, extrémité arrondie. Attachée au niveau de la ligne du dessus et portée droite. Les fesses doivent être en saillie par rapport au point d’attache de la queue. Queue non coupée : longueur moyenne, épaisse à la base, amenuisée vers l’extrémité. L’idéal est la queue portée droite mais elle ne doit pas se recourber de manière excessive sur le dos. Elle ne doit ni s’enrouler ni se tordre en spire. Les fesses doivent être en saillie par rapport au point d’attache de la queue.","Vigoureux, plein d’allant, apte au travail, vif et intrépide, mais de nature amicale.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland,https://fr.wikipedia.org/wiki/Shetland_(chien),Écosse,Mâles : taille idéale : 37 cm au garrot (tolérance de + ou - 2.5 cm). Femelles : taille idéale : 35.5 cm au garrot(même tolérance de + ou - 2.5 cm),9 à 12 kg. sauf surpoids (13 kg pour les plus grands) environ.,"long et dense (forme un collier et un jabot très marqués), court sur la tête et les membres.","fauve, Bicolore (noir et blanc, bleu bicolore, ou noir et feu), Tricolore, Bleu merle.",tête sculptée avec front plat et museau qui s’amincit graduellement.,"moyens obliques et en amande, brun foncé, les deux ou un seul peuvent être bleu ou vairon chez les bleu merle.","petites, modérément larges à la base en forme de triangle avec un pli naturel à un tiers, placées assez près l'une de l'autre sur le haut du crâne.","longue, attachée bas, poil touffu en panache,la dernière vertèbre doit atteindre le jarret.","disposition amicale ; peut se montrer méfiant avec les étrangers, joueur, obéissant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrier écossais,https://fr.wikipedia.org/wiki/Terrier_%C3%A9cossais,Écosse,25 à 28 cm au garrot.,,"Double ; sous-poil court, épais et doux, poil de couverture très dur et rêche (« fil de fer »).","Noir, bringé ou froment (sable).",Crâne moyennement large mais ayant un aspect étroit ; il est presque plat.,"Yeux petits et enfoncés, moyennement écartés, en amande ; expression vive et intelligente.","Petites, dressées, pointues, assez étroites et assez rapprochées l'une de l'autre sans excès.","Pas trop longue, plus épaisse à la base, droite ou légèrement courbée.","Fidèle et attaché à son maître, plein de dignité, indépendant et peu démonstratif, mais courageux et très intelligent. Hardi, mais jamais agressif.","8,6 à 10,4 kilos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnauzer,https://fr.wikipedia.org/wiki/Schnauzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segugio italiano,https://fr.wikipedia.org/wiki/Chien_courant_italien_%C3%A0_poil_ras,Italie,"52 à 58 cm (M), 48 à 56 cm (F).",20 à 30 kg .,"Ras, raide, dense, serrée et uniformément lisse.","Fauve unicolore ou fauve marqué de blanc, noir et feu, tricolore.","De forme allongée, stop très peu marqué, lignes craniaux-faciales divergentes.","Grand, en amande, de couleur ocre foncé.","Longues, tombantes, plates, portée vers l’avant.","Attachée haut, grêle à la racine, atteint la pointe du jarret.",De tempérament hardi à la chasse. Peu expansif.,"Chien courant de taille moyenne, bien proportionné, de construction robuste.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segugio Maremmano,https://en.wikipedia.org/wiki/Segugio_Maremmano,,,,,,,,,,,,,,Italy,,,,,Males,Males,smooth or rough,,,,"fawn, from pale to dark tan black and tan brindle [ 1 ]",,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,standard
Shar Pei,https://fr.wikipedia.org/wiki/Shar_Pei,Chine,44 à 51 cm,20 à 25 kg,"Court ( 1 à 2,5 cm ), dur et hérissé, sans sous-poil","Couleur uni (toutes sauf blanc), possibilité d’hétérogénéité de la teinte","Tête en « hippopotame», chanfrein charnu","En amandes, avec une couleur foncée (variation de la teinte de l'iris possible)","Triangulaire, tombante, très petite et épaisse ; implantation haute","Ronde et épaisse ; incurvée, enroulée ou serrée ; implantation haute par rapport à l'anus","Enjoué, tranquille, fidèle, affectueux et propre.",,Vie de famille et garde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiba Inu,https://fr.wikipedia.org/wiki/Shiba_(chien),Japon,35-43 cm (mâle) // 33-41 cm (femelle).,,Le poil de couverture est dur et droit et le sous-poil est dense et doux. Les poils sur la queue sont plutôt longs.,"Rouge/ Sésame (sésame, sésame noire, sésame rouge)/ Noire et feu / crème","Front large, stop assez net, museau modérément épais et truffe noire, dents fortes, mâchoires en ciseaux, joues bien développées.","Assez petits, écartés, triangulaires et de couleur marron foncé","Oreilles droites, plutôt petites, triangulaires de préférence avec pointes arrondies et inclinées vers l’avant.",Enroulée sur le dos ou en faucille. Le bout doit quasiment toucher les jarrets quand on la déplie.,"Chien à la fois dynamique et calme. Il est aussi fidèle, très attentif, très éveillé, à la fois très attaché à son maître et indépendant, en fonction de son éducation.",6-14 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brun et blanc,,,
Shih-poo,https://en.wikipedia.org/wiki/Shih-poo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shih Tzu,https://fr.wikipedia.org/wiki/Shih_tzu,Tibet,inférieure à 27 cm.,"4,2 à 8 kg","long, dense, non bouclé,doux",toutes couleurs sont acceptées .,"large, ronde, stop marqué, truffe noire ou marron foncé, masque complet","grands, sombres, bien écartés et ronds.","grandes, pavillon long.","panache abondant, attachée haut.","actif, amical, indépendant, affectueux","robuste, plus long que haut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,https://fr.wikipedia.org/wiki/Shikoku_(chien),Japon,"52 cm (M), 49 cm (F)",,Poil de couverture droit avec un sous-poil dense.,"sésame (Sésame, sésame rouge ou sésame noir), rouge ou noir et feu.",,"Petits, de forme triangulaire, couleur marron foncé.","Triangulaires, dressées.",Enroulée sur le dos ou en faucille.,"Endurant, éveillé, docile avec son maître.",,"Chien de chasse , Chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiloh Shepherd Dog,https://fr.wikipedia.org/wiki/Shiloh_Shepherd_Dog,États-Unis,70 cm,,,,,,,,"Calme, obéissant, intuitif autour des personnes et aimant les enfants.",,Chien de compagnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husky sibérien,https://fr.wikipedia.org/wiki/Husky_de_Sib%C3%A9rie,Russie,"mâles de 53,5 à 60 cm femelles de 50,5 à 56 cm","mâles de 20,5 à 28 kg femelles de 15,5 à 23 kg","Doux, lisse et de longueur moyenne, mais très épais avec un sous-poil dense [ 1 ]","Toutes les couleurs sont admises, du noir au blanc pur en passant par le cuivre ou le chocolat, le gris ou le sable [ 1 ] . On rencontre communément diverses marques sur la tête, comprenant de nombreux motifs typiques à la race.","Ronde, avec un stop assez marqué et un museau assez fin [ 1 ] . Le corps est très compact, musclé et Dégage une impression de robustesse en gardant une ligne élégante [ 1 ] .","En forme d'amande, noirs, marrons, bleus ou vairons","Triangulaires, dressées, attachées haut, l'extrémité arrondie pointe vers le ciel [ 1 ]","Moyenne, légèrement recourbée [ 1 ] , fournie en poil","Doux, gentil, affectueux, sensible, sociable, sportif et déterminé",,"Chien d'attelage , chien de compagnie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lévrier de soie,https://fr.wikipedia.org/wiki/L%C3%A9vrier_de_soie,États-Unis,47 à 60 cm,,moyennement long et soyeux,Toutes couleurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skye terrier,https://fr.wikipedia.org/wiki/Skye_terrier,Écosse,"25 - 26 cm de haut 103 cm de long Femelle légèrement plus petite avec les mêmes proportions. Poids : 11,5 kg, 10 % de moins pour les femelles",,"long et dur, il tombe jusqu'à terre.","fauve, gris clair ou foncé (y compris argent ou bringé), crème, noir. Les oreilles sont obligatoirement noires.","longue et puissante, la force étant privilégiée par rapport à la longueur",bruns,droites ou tombantes,"pendante, la partie inférieure est recourbée levée, prolonge le dos sans se courber davantage","élégant et plein de dignité. C'est le chien d'un seul maître, méfiant envers les étrangers, mais jamais méchant.",basset. La longueur du corps est 2 fois supérieure à sa hauteur.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovensky kopov,https://fr.wikipedia.org/wiki/Chien_courant_slovaque,Slovaquie,"45 à 50 cm (M), 40 à 45 cm (F).",17 à 22 kg .,"Épaisseur moyenne, bien couché, dense avec sous-poil.",Noir et feu.,Crâne de forme rectangulaire oblongue. Lignes du chanfrein et du crâne parallèles.,"De couleur sombre, en forme d'amande.","Tombantes, de longueur moyenne, arrondies à l’extrémité inférieure.","Forte, se terminant en pointe, atteint le jarret. Pendante au repos, en forme de sabre en action.",Vif.,"Chien courant de taille moyenne, d'ossature solide et d'allure légère.","Chien de chasse , Chien de garde , Chien de défense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braque slovaque à poil dur,https://fr.wikipedia.org/wiki/Braque_slovaque_%C3%A0_poil_dur,Slovaquie,"62 à 68 cm (M), 57 à 64 cm (F).",,"Poil de couverture d’environ 4 cm, dur, droit et couché avec un sous-poil très fin.","Gris dans toutes ses nuances, avec ou sans marques blanches, gris avec des taches plus ou moins grandes, éventuellement moucheté.",,"En amandes, de couleur ambrée, avec une expression intelligente.","Tombantes, attachées au-dessus du niveau de l’œil, de forme arrondie.","Attachée plutôt haut, écourtée à mi-longueur, portée pendante au repos, horizontale en action.","Obéissant, se dresse facilement.","Braque de taille plutôt haute, avec le dos droit, le cou attaché haut et la tête portée haut.",Chien de chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
